_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,Course Name,Course World Ranking,Teaching language,_language Req.,_Admission without IELTS/TOFEL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine,Duration,Go to course website,Submit application to,_Daad SIte,Updated By,Checked By,Post writing ,Comment
542,3531,143,Augsburg University of Applied Sciences,<a href="https://howtoabroad.com/augsburg-university-of-applied-sciences/" title="Augsburg University of Applied Sciences" target="_blank" >Augsburg University of Applied Sciences</a>,Master's degree,Master of International Business and Finance,,English,,,,,none,Winter,,3 semesters,<a href="http://sportmedizin-saarbruecken.de/de/node/93" title="International PhD Programme: Science and Health in Footbal" target="_blank" rel="noopener">Go to course website</a>,<a href="http://sportmedizin-saarbruecken.de/de/node/107" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6098/,,,,
1167,3531,143,Augsburg University of Applied Sciences,<a href="https://howtoabroad.com/augsburg-university-of-applied-sciences/" title="Augsburg University of Applied Sciences" target="_blank" >Augsburg University of Applied Sciences</a>,Master's degree,Industrial Security,,German&English,,,,,none,Summer,,3 semesters,<a href="http://www.aquadiva.uni-jena.de/Graduate_School.html" title="Integrated Research Training Group AquaDiva (iRTG AquaDiva)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.aquadiva.uni-jena.de/GRADUATE+SCHOOL/Open+positions-p-213.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6955/,,,,
1370,3531,143,Augsburg University of Applied Sciences,<a href="https://howtoabroad.com/augsburg-university-of-applied-sciences/" title="Augsburg University of Applied Sciences" target="_blank" >Augsburg University of Applied Sciences</a>,Bachelor's degree,International Information Systems,,German&English,,,,,none,Winter,,7 semesters,<a href="http://www.development-research.org/index.php/study-programmes/phd-ids.html" title="PhD in International Development Studies" target="_blank" rel="noopener">Go to course website</a>,<a href="https://public.ruhr-uni-bochum.de/ps/iee" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7126/,,,,
318,3531,143,Augsburg University of Applied Sciences,<a href="https://howtoabroad.com/augsburg-university-of-applied-sciences/" title="Augsburg University of Applied Sciences" target="_blank" >Augsburg University of Applied Sciences</a>,Master's degree,Interactive Media Systems,,English,,,,,none,Winter& Summer,,3 semesters,<a href="http://www.en.mcls.lmu.de/study_programs/dtp/index.html" title="Doctoral Training Programme in the Learning Sciences (DTP-LS)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.en.mcls.lmu.de/study_programs/dtp/deadline/index.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6968/,,,Phase 5,
1438,7574,290,Bard College Berlin& a Liberal Arts University,<a href="https://howtoabroad.com/bard-college-berlin/" title="Bard College Berlin& a Liberal Arts University" target="_blank" >Bard College Berlin& a Liberal Arts University</a>,Bachelor's degree,BA in Economics& Politics& and Social Thought,,English,,,,,,Winter,,8 semesters,<a href="http://www.en.mcls.uni-muenchen.de/study_programs/master/" title="MSc Psychology: Learning Sciences" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.portal.graduatecenter.uni-muenchen.de/ocgc/mscls" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4537/,,,,
1439,7574,290,Bard College Berlin& a Liberal Arts University,<a href="https://howtoabroad.com/bard-college-berlin/" title="Bard College Berlin& a Liberal Arts University" target="_blank" >Bard College Berlin& a Liberal Arts University</a>,Bachelor's degree,BA in Humanities& the Arts& and Social Thought,,English,,,,,,Winter,,8 semesters,<a href="http://www.geas.fu-berlin.de/studium/Doctoral_Program/index.html" title="Graduate School of East Asian Studies (GEAS)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.geas.fu-berlin.de/application/Admission/index.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4535/,,,,
1,1295,68,Sample_Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,MSc Photovoltaics Engineering Science,,English,IELTS 5.5 / B2,,,,none,Winter& Summer,,3 semesters,<a href="http://www.go.ur.de/mscphysics" title="Master of Science in Physics" target="_blank" rel="noopener">Go to course website</a>,,,,,Phase 2,
112,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,Computer Science for Digital Media,,English,,,,,none,Winter& Summer,,4 semesters,<a href="http://www.gradschool.physics.uni-bonn.de/#PhDStudies" title="Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics (Bonn)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.gradschool.physics.uni-bonn.de/Applying/BCGS_Apply_H2.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4238/,Amar,,Phase 1,
295,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,Human-Computer Interaction (HCI),,English,,,,,none,Winter& Summer,,4 semesters,<a href="http://www.gradschool.physics.uni-bonn.de/#PhDStudies" title="Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Astrophysics (Bonn)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.gradschool.physics.uni-bonn.de/Applying/BCGS_Apply_H2.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4660/,Amar,,Phase 1,
140,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,Digital Engineering,,English,,,,,none,Winter& Summer,,4 semesters,<a href="http://www.hbigs.uni-heidelberg.de/" title="Heidelberg Biosciences International Graduate School (HBIGS)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.hbigs.uni-heidelberg.de/main_application.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5587/,,,Phase 2,
