World Ranking;Germany Ranking;University Name;Course Type;City;Course Name;Course Germany Ranking;Teaching language;Tution Fee (Per semester);Beginning Semester;Duration;Go to course website;Submit application to
360;31;"<a href=""https://howtoabroad.com/saarland-university/"" title=""Saarland University  "" target=""_blank"" rel=""noopener"">Saarland University  </a>";PhD / Doctorate;;International PhD Programme: Science and Health in Football;8 (For Sports / Exercise science);English;;Any time;6 semesters;"<a href=""http://sportmedizin-saarbruecken.de/de/node/93"" title=""International PhD Programme: Science and Health in Footbal"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://sportmedizin-saarbruecken.de/de/node/107"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
297;24;"<a href=""https://howtoabroad.com/friedrich-schiller-university-of-jena/"" title=""Friedrich Schiller University Jena"" target=""_blank"" rel=""noopener"">Friedrich Schiller University Jena</a>";PhD / Doctorate;Jena;Integrated Research Training Group AquaDiva (iRTG AquaDiva);;English;;Other;8 semesters;"<a href=""http://www.aquadiva.uni-jena.de/Graduate_School.html"" title=""Integrated Research Training Group AquaDiva (iRTG AquaDiva)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.aquadiva.uni-jena.de/GRADUATE+SCHOOL/Open+positions-p-213.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
247;22;"<a href=""https://howtoabroad.com/ruhr-universitat-bochum-2/"" title=""Ruhr-Universität Bochum  "" target=""_blank"" rel=""noopener"">Ruhr-Universität Bochum  </a>";PhD / Doctorate;Bochum;PhD in International Development Studies;25 (For Development Studies);English;;Winter semester;6 semesters;"<a href=""http://www.development-research.org/index.php/study-programmes/phd-ids.html"" title=""PhD in International Development Studies"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""https://public.ruhr-uni-bochum.de/ps/iee"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
56;1;"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>";PhD / Doctorate;Munich;Doctoral Training Programme in the Learning Sciences (DTP-LS);;English;;Winter semester;6 semesters;"<a href=""http://www.en.mcls.lmu.de/study_programs/dtp/index.html"" title=""Doctoral Training Programme in the Learning Sciences (DTP-LS)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.en.mcls.lmu.de/study_programs/dtp/deadline/index.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
56;1;"<a href=""https://howtoabroad.com/ludwig-maximilians-university-munich/"" title=""Ludwig Maximilians University Munich"" rel=""noopener"" target=""_blank"">Ludwig Maximilians University Munich (LMU)</a>";Master's degree;Munich;MSc Psychology: Learning Sciences;1 (For Biology), 1 (For Psychology);English;none;Winter;4 semesters;"<a href=""http://www.en.mcls.uni-muenchen.de/study_programs/master/"" title=""MSc Psychology: Learning Sciences"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.portal.graduatecenter.uni-muenchen.de/ocgc/mscls"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
142;8;"<a href=""https://howtoabroad.com/freie-university-of-berlin/"" title=""Freie Universität Berlin"" rel=""noopener"" target=""_blank"">Freie Universität Berlin</a> ";PhD / Doctorate;Berlin;Graduate School of East Asian Studies (GEAS);;English;;Winter semester;6 semesters;"<a href=""http://www.geas.fu-berlin.de/studium/Doctoral_Program/index.html"" title=""Graduate School of East Asian Studies (GEAS)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.geas.fu-berlin.de/application/Admission/index.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
344;28;"<a href=""https://howtoabroad.com/university-of-regensburg/"" title=""Universität Regensburg"" target=""_blank"" rel=""noopener"">Universität Regensburg</a> ";Master's degree;Regensburg;Master of Science in Physics;" 21 (For Physics)";English;none;Winter, Summer;4 semesters;"<a href=""http://www.go.ur.de/mscphysics"" title=""Master of Science in Physics"" target=""_blank"" rel=""noopener"">Go to course website</a>";
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";Master's degree;Bonn;Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics (Bonn);2 (For Astronomy);English;;;6 semesters;"<a href=""http://www.gradschool.physics.uni-bonn.de/#PhDStudies"" title=""Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics (Bonn)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.gradschool.physics.uni-bonn.de/Applying/BCGS_Apply_H2.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
124;5;"<a href=""https://howtoabroad.com/university-of-bonn/"" title=""University of Bonn"" target=""_blank"" rel=""noopener"">University of Bonn</a> ";PhD / Doctorate;Bonn;Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Astrophysics (Bonn);3 (For Astrophysics);English;;Any time;6 semesters;"<a href=""http://www.gradschool.physics.uni-bonn.de/#PhDStudies"" title=""Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Astrophysics (Bonn)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.gradschool.physics.uni-bonn.de/Applying/BCGS_Apply_H2.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
73;2;"<a href=""https://howtoabroad.com/heidelberg-university/"" title=""Universität Heidelberg  "" target=""_blank"" rel=""noopener"">Universität Heidelberg  </a>";PhD / Doctorate;Heidelberg;Heidelberg Biosciences International Graduate School (HBIGS);2 (For Biology);English;;Winter semester, Summer semester;6 semesters;"<a href=""http://www.hbigs.uni-heidelberg.de/"" title=""Heidelberg Biosciences International Graduate School (HBIGS)"" target=""_blank"" rel=""noopener"">Go to course website</a>";"<a href=""http://www.hbigs.uni-heidelberg.de/main_application.html"" title=""Submit application"" target=""_blank"" rel=""noopener"">Submit application</a>"
