S.no;World Ranking;Germany Ranking;_University Name;University Name link;Course Type;Course Sub_Type;City;Course Name;Course Germany Ranking;Teaching language;_language Req.;Admission without IELTS/TOEFL;Required German Grade;GRE;"Tution Fee ";Tuition Fee Per;Beginning Semester;Application DeadLine for winter;Application DeadLine for Summer;Duration;Go to course website;Submit application to;Logo URL;Responsible Person;_Daad SIte;Updated on;State;Comment;Tags_Alternate;Uni_Type;Type of Course;;Application Deadline(EU/Non EU);University's Official emails;Fees link;LOI Additional;Study Type;Focus;Target group;Annotation;Admission modus;Admission requirements;Area of study;Admission requirements on Official Webpage;ECTS;Mode of Admission;Study Mode;Admission Test/Interview;Application;Required German Language Test;"Commented by Abhishek ";MGU_LINK
1;665;48;(TU) Technical University Kaiserslautern;https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/;Master;Master;Kaiserslautern;Actuarial and Financial Mathematics;42 (For Actuarial Science);English;TOEFL(pBT 550,iBT 80,cBT 213);NO;;NA;None;;Winter, Summer;30-Apr;31-Oct;4 semesters;https://www.mathematik.uni-kl.de/en/studium/studiengaenge/msc/fvm;https://www.mathematik.uni-kl.de/en/studies/studiengaenge/msc/application-master/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/TU-Kaiserslautern.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4722/;11-June;Rhineland-Palatinate;;;;;;No information;info@businessschool-berlin.de / bewerbung@businessschool-berlin.de / bewerbung@businessschool-berlin.de;https://www.fakultaet-creative-business.de/creative-business-management/;;graduate;Creative Industries, Entrepreneurship, Project Management, Company Development, Marketing, Coaching, Research Methods;You are creative and think entrepreneurially. You have already completed a Bachelor's degree in an artistically applied or a business-oriented course and would like to further expand your field of activity in one of the sub-markets of the creative industries. The BSP Master's programme in Creative Business Management broadly prepares you for market challenges, creative processes, new digital markets and innovative technologies and offers all the prerequisites for a successful career and career path.;Interdisciplinary thinking and working are typical characteristics of the creative industries and are dealt with intensively in the Creative Business Management degree within the framework of all competence fields. Entrepreneurship in the creative industries today predominantly means recognising - digital - movements of change and developing new creative business models from them. A three-stage integrated practical project also enables students to set up their own company during their degree.;open admission;"relevant professional qualification according to §10 of Berlin Higher Education Act (BerlHG)
    Completed Bachelor's degree in Economics or
  completed Bachelor's degree in Art or Aesthetics";;https://www.fakultaet-creative-business.de/creative-business-management/#article-116;;;;;;;;
2;779;55;Chemnitz University of Technology;https://howtoabroad.com/technical-university-of-chemnitz/;Master;Master;Chemnitz;Advanced and Computational Mathematics – International Master's and PhD Programme;47 (For Mathematics);English;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.tu-chemnitz.de/mathematik/mscphd/;https://www.uni-assist.de/en/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/tulogo.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4770/;11-June;Saxony;;;;;;No information;aaa@udk-berlin.de / aaa@udk-berlin.de / studienberatung@udk-berlin.de / sabine.carossa@intra.udk-berlin.de / theaterpaedagogik@udk-berlin.de;Not given;;graduate;Development of artistic skill Drama/Theatre, Development of Educational-Didactical Skills, Development of Theoretical Skills;"Generally, graduates of Drama, Teaching, Theatre Science, Pedagogy with experience in the area of Drama and Theatre,
the commission can recognise other degrees if there is sufficient experience in the field of play and theatre.";;Selection procedure / qualifying examination;"Completed university degree in drama, teaching qualification, theatre studies, social education\; other degrees may be recognised\; substantial experience in drama/theatre is preferred
Other degrees may also be recognised in connection with relevant practical experience.";Cultural Pedagogy, Theatre Pedagogy, Media Pedagogy / Acting;https://www.udk-berlin.de/studium/theaterpaedagogik/#c11086;;;;;;;;
3;399;35;Leibniz University Hannover;https://howtoabroad.com/leibniz-university-hannover/;Master;Master;Hanover;Advanced Anglophone Studies;;English;;;;NA;None;;Winter, Summer;31-May;30-Nov;4 semesters;https://www.uni-hannover.de/en/studium/studienangebot/info/studiengang/detail/advanced-anglophone-studies/;;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/luh.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4869/;11-June;Lower Saxony;;;;;;No information;beratung@akad.de;https://www.akad.de/fernstudium-bachelor/studiengang/energietechnik/?wkz=7007AA;English;undergraduate;Electrical Engineering, Mathematics, Electronics, Metrology, Software Development, Project Management;;"LOOK BEYOND THE HORIZON AND BROADEN YOUR
CLASSICAL ELECTRICAL ENGINEERING WITH INTERDISCIPLINARY
FUTURE TOPICS SUCH AS SUSTAINABILITY
AND ENERGY EFFICIENCY.
For all those who want to further develop as an electrical engineer,
this degree course offers the electrical
energy technology through the interlinking of science and
practice the ideal mediation of further future-oriented and
interdisciplinary qualifications. This is how you keep busy
alongside mechanical engineering-specific elements such as thermodynamics,
statics and skill teaching also with the generation of
conventional and renewable energy and with the
energy management and energy information networks. This
expands your spectrum of professional and methodological competence as an
engineer and makes you particularly sought-after in the
modern labour market.";open admission;School-leaving certificate giving right of entry to higher education or entrance qualification for universities of applied sciences. If you do not have a school leaving certificate giving right of entry to higher education or an entrance qualification for universities of applied sciences, you can still study under certain conditions.;;https://www.akad.de/fernstudium/infoseiten/fernstudium-ohne-abitur/?wkz=7007AA;;;;;;;;
4;2709;100;Frankfurt University of Applied Sciences;https://howtoabroad.com/frankfurt-university-of-applied-sciences/;Master;Master;Frankfurt;Advanced Architecture — From Urban Design to Building Construction;81 (For Art and Design);English;IELTS 6/ TOEFL(IBT 79/PBT /CBT)/OTHERS;YES;2.3;NA;None;;Summer;;15-Oct;4 semesters;https://www.frankfurt-university.de/en/studies/master-programs/advanced-architecture-msc/for-prospective-students/;https://my.uni-assist.de/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/30715369_1850746711615543_7565865619556401152_n.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7065/;11-June;Hesse;;;;;;July 2022 (EU), July 2022 (Non-EU);gropp@ash-berlin.eu / studienberatung@ash-berlin.eu / studienberatung@ash-berlin.eu / weisgerber@ ash-berlin.eu;https://www.ash-berlin.eu/studium/studiengaenge/master-management-und-qualitaetsentwicklung-im-gesundheitswesen-msc/profil/;;graduate;;"University graduates from the following courses of study:
A basic Bachelor's degree or Diploma in the subject areas:
Healthcare/Nursing Care Management
Physiotherapy/Occupational Therapy
or a degree from an equivalent course of study with at least 180 Credit Points (ECTS)";"For students studying full-time, the standard period of study is 4 semesters; 7 semesters for part-time students.";selection by the HEI;"1. Degree in an undergraduate bachelor's degree course in the subject areas:
*Health / nursing management
*physiotherapy / ergotherapy or
*a comparable university degree with at least 180 credit points (ECTS).
2. Proof of exceptional aptitude for the chosen study focus:
*Presentation of personal study goals and justification of the choice of major in the application (letter of motivation, approx. 1 page) *Documentation of major-related academic achievements and credit points obtained (Diploma Supplement, Transcript of Records, etc.) *Acknowledgement of the applicant's academic achievements and credit points obtained (Diploma Supplement, Transcript of Records, etc.)\; for diploma graduates of the ASFH there is an equivalence list) 
3. Proof of English language skills at least level B1 of the Common European Reference Framework for Languages (CEFR).";;https://www.ash-berlin.eu/studium/studiengaenge/master-management-und-qualitaetsentwicklung-im-gesundheitswesen-msc/vor-dem-studium-bewerbung/;;;;;;;;
5;157;11;RWTH Aachen University;https://howtoabroad.com/rwth-aachen-university/;Master;Master;Aachen;Advanced Computational Methods in Civil Engineering;1  ( civil engineering );English;IELTS 5.5,TOEFL iBT- 90,FCE-B,CEFR-B2,Placement test(RWTH)-B2;NA;NA;YES;None;;Winter, Summer;1-Mar;1 Sept;4 semesters;https://www.fb3.rwth-aachen.de/cms/Bauingenieurwesen/Studium/Studiengaenge/Masterstudiengaenge/Text-M-Sc-Bau/Studienschwerpunkte-Bauingenieurwesen-M/~otcz/Advanced-Computational-Methods-in-Civil/?lidx=1;https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login?$ctx=lang=en;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/RWTH-Aachen-University.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/;11-June;North Rhine-Westphalia;;;;;;expired (EU), expired (Non-EU);international@th-ab.de / studienberatung@th-ab.de / melissa.sommer@th-ab.de;Not given;English;undergraduate;Inventory Management, Property Valuation and Accounting, Property Investment Management, Project Development, International Management (study abroad);;;open admission;;Business Administration / International Business Administration;;;;;;;;;
6;779;55;Chemnitz University of Technology;https://howtoabroad.com/technical-university-of-chemnitz/;Master;Master;Chemnitz;Advanced Functional Materials;;English;IELTS 5.5/TOEFL(iBT 72);YES;;NA;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.tu-chemnitz.de/chemie/ma_afm.html.en;;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/tulogo.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4695/;11-June;Saxony;;;;;;January 2023 (EU), January 2023 (Non-EU);international@th-ab.de / studienberatung@th-ab.de / melissa.sommer@th-ab.de;Not given;English;undergraduate;Motive Power Engineering and Robotics, Vehicle Mechatronics, Information and Automation Engineering, Microelectronic systems and design, Microsystems Engineering, Production Engineering, Applications of Microelectronics, Design and Development;;;open admission;;Mechatronics / Marketing, Distribution;;;;;;;;;
7;1147;62;Freiberg University of Mining and Technology (TU Bergakademie Freiberg);https://howtoabroad.com/tu-bergakademie-freiberg/;Master;Master;Freiberg;Advanced Materials Analysis;;English;;;;;None;;Winter;15-Apr;;4 semesters;https://tu-freiberg.de/en/studies/master-advanced-materials-analysis;https://campus.tu-freiberg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/logo_bergakademie-freiberg-technische-universitaet.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/;11-June;Saxony;;;;;;expired (EU), expired (Non-EU);international@th-ab.de / studienberatung@th-ab.de / melissa.sommer@th-ab.de;Not given;;undergraduate;Resource Efficiency, Applied Modern Materials, Chemistry, Plastics Engineering, Lightweight Construction, Additive manufacturing, Sustainability;;;open admission;;;;;;;;;;;
8;205;16;FAU Erlangen-Nurnberg;https://howtoabroad.com/friedrich-alexander-university/;Master;Master of Science;Erlangen;Advanced Signal Processing and Communications Engineering MSc;;English;TOEFL;;;;None;;Winter;15-Mar;;4 semesters;https://meinstudium.fau.de/studienangebot/advanced-signal-processing-communications-engineering-msc/;https://www.asc.studium.fau.de/prospective-students/application/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/Friedrich–Alexander-Universitat-FAU.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/;11-June;Bavaria;;;;;;No information;international@hs-augsburg.de / studienberatung@hs-augsburg.de / benjamin.hahn@hs-augsburg.de / architektur@hs-augsburg.de;https://www.hs-augsburg.de/Rueckmeldung.html;;graduate;;Engineers;;Selection procedure / qualifying examination;"1. Proof of a degree in Architecture composed of at least 6 theoretical study semesters, passed with examination grade ""good"" or better, 
2. At least 1 year of relevant practical work experience, 
3. Aptitude for the subject demonstrated in an aptitude assessment procedure.";;;;;;;;;;
9;198;15;Leipzig University;https://howtoabroad.com/leipzig-university/;Master;Master;Leipzig;Advanced Spectroscopy in Chemistry (ASC);NA;English;;;;;Varied;;Winter;1-Sep;;4 semesters;https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/advanced-spectroscopy-in-chemistry-msc;https://www.master-asc.org/application/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/10/Leipzig-University-1.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7056/;11-June;Saxony;;;;;;No information;international@hs-augsburg.de / studienberatung@hs-augsburg.de / benjamin.hahn@hs-augsburg.de / info@informatik.hs-augsburg.de;https://www.hs-augsburg.de/Rueckmeldung.html;;graduate;;Graduates of the study course Business Informatics or a comparable study course;;Selection procedure / qualifying examination;please refer to the current study and examination regulations:;;;;;;;;;;
10;93;3;(TU) Technical University Munich;https://howtoabroad.com/technical-university-of-munich/;Master;Master;Freising;Agricultural Biosciences;4 (For Agricultural Science);English;IELTS-6.5/TOEFL-(iBT-88 points);YES;;NA;None;;Winter;31-May;;4 semesters;https://www.tum.de/en/studies/degree-programs/detail/agricultural-biosciences-master-of-science-msc;https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/login;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/TUM.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6527/;11-June;Bavaria;;;;;;No information;international@hs-augsburg.de / studienberatung@hs-augsburg.de / benjamin.hahn@hs-augsburg.de / bufler@hs-augsburg.de;Not given;;graduate;;"Absolvent:innen einer staatlich anerkannten Hochschule in den Studienfächern „Kommunikationsdesign“, „Visuelle Kommunikation“
oder verwandten Fachgebieten mit gestalterischer Orientierung. Abgeschlossenes Hochschulstudium mit mindestens 210 Creditpoints.";;Selection procedure / qualifying examination;"Bestehen eines Verfahrens zur Feststellung der studiengangspezifischen Eignung, gem. Art. 43 Abs. 5 BayHSchG. 
Dieses wird in Form einer Vorauswahl, der Bearbeitung einer Aufgabenstellung (inkl. Präsentation einer individuellen Antwort auf die Aufgabenstellung) sowie einer mündlichen Prüfung (Auswahlgespräch) durchgeführt.";;https://www.hs-augsburg.de/Bewerbung.html;;;;;;;;
