_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,City,Course Name,Course Germany Ranking,Teaching language,_language Req.,_Admission without IELTS/TOEFL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine for winter,Application DeadLine for Summer,Duration,Go to course website,Submit application to,Logo URL,Responsible Person,_Daad SIte,Updated on,State,Comment,,
1621,595,44,(TU) Technical University Braunschweig,https://howtoabroad.com/technical-university-of-braunschweig/,Master,Braunschweig,Data Science,,English,,,,,None,"Winter, Summer",15-Jul,15-Jan,4 semesters,https://www.tu-braunschweig.de/en/study-teaching/beginning-your-studies/degree-programmes/data-science-master,https://www.tu-braunschweig.de/en/application,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/Technical-University-of-Braunschweig.png,Arya,,11-May,,,,
1126,1677,71,(TU) Technical University Braunschweig,https://howtoabroad.com/technical-university-of-braunschweig/,Master,Braunschweig,Computational Sciences in Engineering (CSE),,"English, German",,,,,None,Winter,15-Mar,,4 semesters,https://www.tu-braunschweig.de/en/cse,https://www.tu-braunschweig.de/en/cse/institute,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2022/01/Technische-Universitat-Braunschweig.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3685/,11-May,,,,
47,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,Biodiversity and Collection Management,23 (For Management),English,"IELTS-6.0/TOEFL-(iBT-80 points, PBT-550 points, CBT-213 points)",NO,,NA,None,Winter,15-Jul,,4 semesters,https://tu-dresden.de/ihi-zittau/studium/studienangebot/biodiversity-collection-management,https://tu-dresden.de/ihi-zittau/studium/studieren-am-ihi-zittau/bewerbung,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4801/,11-May,,,,
170,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,Ecosystem Services,,English,,,,NA,None,Winter,15-Jul,,4 semesters,https://tu-dresden.de/ihi-zittau/studium/studienangebot/ecosystem-services?set_language=en,https://tu-dresden.de/ihi-zittau/studium/studieren-am-ihi-zittau/bewerbung?set_language=en,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4802/,11-May,,,,
377,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,International Master's Programme Advanced Computational and Civil Engineering Structural Studies (ACCESS),5 ( civil engineering ),English,IELTS 6.0/TOEFL(iBT 79),NO,,,None,Winter,31-May,,4 semesters,https://tu-dresden.de/bu/bauingenieurwesen/studium/infos-fuer-studieninteressierte/im-studium/access,https://tu-dresden.de/bu/bauingenieurwesen/studium/infos-fuer-studieninteressierte/im-studium/access/application,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4132/,11-May,,,,
379,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,International Master's Programme in Computational Modelling and Simulation,,English,,,,,None,Winter,31-May,,4 semesters,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/computational-modeling-and-simulation,https://tu-dresden.de/studium/vor-dem-studium/bewerbung/online-bewerbung,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5202/,11-May,,,,
381,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,International Master's Programme in Distributed Systems Engineering (DSE), 9 (For Systems Engineering),English,IELTS/TOEFL,NO,,,None,Winter,31-May,,4 semesters,https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_studiengang?autoid=49,https://tu-dresden.de/studium/vor-dem-studium/bewerbung/online-bewerbung,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3803/,11-May,,,,
387,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,International Master's Programme in Organic and Molecular Electronics,"33 (For Molecular Biology), 4 ( For Electronic Engineering )",English,IELTS 7/TOEFL(iBT 95),NO,,NA,None,Winter,31-May,,4 semesters,https://tu-dresden.de/mn/physik/studium/master-ome?set_language=en,https://tu-dresden.de/mn/physik/studium/master-ome/studieninteressierte/application,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4388/,11-May,,,,
390,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,International Master's Programme in Regenerative Biology and Medicine,29 (For Biology)/27 (For Medicine),English,,,,NA,None,Winter,31-May,,4 semesters,https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_studiengang?autoid=97,https://tu-dresden.de/studium/vor-dem-studium/bewerbung/online-bewerbung,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4272/,11-May,,,,
406,216,19,(TU) Technical University Dresden,https://howtoabroad.com/technical-university-dresden/,Master,Dresden,International Studies in Intellectual Property Law (LLM),36 (For Law),English,,,,,"€2,500","Winter, Summer",15-May,15-Jan,2 semesters,https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_studiengang?autoid=75,https://tu-dresden.de/gsw/phil/irget/ipllm/bewerbung/zulassungsvoraussetzungen,https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/tud_logo_og_square.png,Arya,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3720/,11-May,,,,
