S.no;World_Ranking;German_Ranking;University_Name;HTA_Uni_Link;Course Type;Course_Type;City;Course_Name;Course_Ranking;Teaching_Language;Language_Requirement;Admission_IELTS_TOFEL;Required_German_Grade;GRE;Tuition_Fee;Tuition Fee Per;Semester_Start;Application_Deadline_Winter;Application_Deadline_Summer;Duration;Course_Link;Application_Link;Logo;Responsible Person;_Daad SIte;Updated;State;Comment;Tags_Alternate;Uni_Type
1;665;48;(TU) Technical University Kaiserslautern;https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/;Master;Master;Kaiserslautern;Actuarial and Financial Mathematics;42 (For Actuarial Science);English;TOEFL(pBT 550,iBT 80,cBT 213);NO;;NA;None;;Winter, Summer;30-Apr;31-Oct;4 semesters;https://www.mathematik.uni-kl.de/en/studium/studiengaenge/msc/fvm;https://www.mathematik.uni-kl.de/en/studies/studiengaenge/msc/application-master/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/TU-Kaiserslautern.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4722/;11-Jun;Rhineland-Palatinate;;;
2;779;55;Chemnitz University of Technology;https://howtoabroad.com/technical-university-of-chemnitz/;Master;Master;Chemnitz;Advanced and Computational Mathematics – International Master's and PhD Programme;47 (For Mathematics);English;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.tu-chemnitz.de/mathematik/mscphd/;https://www.uni-assist.de/en/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/tulogo.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4770/;11-Jun;Saxony;;;
3;399;35;Leibniz University Hannover;https://howtoabroad.com/leibniz-university-hannover/;Master;Master;Hanover;Advanced Anglophone Studies;;English;;;;NA;None;;Winter, Summer;31-May;30-Nov;4 semesters;https://www.uni-hannover.de/en/studium/studienangebot/info/studiengang/detail/advanced-anglophone-studies/;;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/luh.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4869/;11-Jun;Lower Saxony;;;
4;2709;100;Frankfurt University of Applied Sciences;https://howtoabroad.com/frankfurt-university-of-applied-sciences/;Master;Master;Frankfurt;Advanced Architecture — From Urban Design to Building Construction;81 (For Art and Design);English;IELTS 6/ TOEFL(IBT 79/PBT /CBT)/OTHERS;YES;2.3;NA;None;;Summer;;15-Oct;4 semesters;https://www.frankfurt-university.de/en/studies/master-programs/advanced-architecture-msc/for-prospective-students/;https://my.uni-assist.de/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/30715369_1850746711615543_7565865619556401152_n.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7065/;11-Jun;Hesse;;;
5;157;11;RWTH Aachen University;https://howtoabroad.com/rwth-aachen-university/;Master;Master;Aachen;Advanced Computational Methods in Civil Engineering;1  ( civil engineering );English;IELTS 5.5,TOEFL iBT- 90,FCE-B,CEFR-B2,Placement test(RWTH)-B2;NA;NA;YES;None;;Winter, Summer;01-Mar;01-Sep;4 semesters;https://www.fb3.rwth-aachen.de/cms/Bauingenieurwesen/Studium/Studiengaenge/Masterstudiengaenge/Text-M-Sc-Bau/Studienschwerpunkte-Bauingenieurwesen-M/~otcz/Advanced-Computational-Methods-in-Civil/?lidx=1;https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login?$ctx=lang=en;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/RWTH-Aachen-University.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/;11-Jun;North Rhine-Westphalia;;;
6;779;55;Chemnitz University of Technology;https://howtoabroad.com/technical-university-of-chemnitz/;Master;Master;Chemnitz;Advanced Functional Materials;;English;IELTS 5.5/TOEFL(iBT 72);YES;;NA;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.tu-chemnitz.de/chemie/ma_afm.html.en;;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/tulogo.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4695/;11-Jun;Saxony;;;
7;1147;62;Freiberg University of Mining and Technology (TU Bergakademie Freiberg);https://howtoabroad.com/tu-bergakademie-freiberg/;Master;Master;Freiberg;Advanced Materials Analysis;;English;;;;;None;;Winter;15-Apr;;4 semesters;https://tu-freiberg.de/en/studies/master-advanced-materials-analysis;https://campus.tu-freiberg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/logo_bergakademie-freiberg-technische-universitaet.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/;11-Jun;Saxony;;;
8;205;16;FAU Erlangen-Nurnberg;https://howtoabroad.com/friedrich-alexander-university/;Master;Master of Science;Erlangen;Advanced Signal Processing and Communications Engineering MSc;;English;TOEFL;;;;None;;Winter;15-Mar;;4 semesters;https://meinstudium.fau.de/studienangebot/advanced-signal-processing-communications-engineering-msc/;https://www.asc.studium.fau.de/prospective-students/application/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/Friedrich–Alexander-Universitat-FAU.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/;11-Jun;Bavaria;;;
9;198;15;Leipzig University;https://howtoabroad.com/leipzig-university/;Master;Master;Leipzig;Advanced Spectroscopy in Chemistry (ASC);NA;English;;;;;Varied;;Winter;01-Sep;;4 semesters;https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/advanced-spectroscopy-in-chemistry-msc;https://www.master-asc.org/application/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/10/Leipzig-University-1.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7056/;11-Jun;Saxony;;;
10;93;3;(TU) Technical University Munich;https://howtoabroad.com/technical-university-of-munich/;Master;Master;Freising;Agricultural Biosciences;4 (For Agricultural Science);English;IELTS-6.5/TOEFL-(iBT-88 points);YES;;NA;None;;Winter;31-May;;4 semesters;https://www.tum.de/en/studies/degree-programs/detail/agricultural-biosciences-master-of-science-msc;https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/login;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/TUM.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6527/;11-Jun;Bavaria;;;
